A. 目标达成率 | Target Achievement Rate,,,,
📌 按目标类型统计2026年批核APE（issue_year=2026），计算达成率,,,,
指标,目标APE,已达成APE,目标达成率,完成进度
2026全业务目标,1113000000,0,0.0%,0.0%
2026永明业务目标,976100000,0,0.0%,0.0%

B. 顶部KPI汇总 | Top KPI Summary,,,,,
📌 批核(2025/2026):status=生效+issue_year；未批核:IN(尚欠/已签/pending/待批核)；待签:排期；流失(2026):流失+sign_year=2026,,,,,
指标行,件数,APE,年总保费(HKD),件均APE,融资占比
批核(2025),1645,0,0,0,0.0%
批核(2026),1157,0,0,0,0.0%
未批核(跨年),235,23140949,39458939,98472,20.7%
待签(跨年),42,0,0,0,0.0%
流失(2026),93,0,0,0,0.0%

C. 月度业绩走势—按预约时间 | Monthly by Reservation Date,,,,,,
📌 res_ym；排除取消预约，保留所有其他状态；2025-01至最新月,,,,,,
预约年月,件数,APE,年总保费(HKD),件均APE,环比增长%,同比增长%
2025-01,69,0,0,0,,
2025-02,119,0,0,0,,
2025-03,114,0,0,0,,
2025-04,74,0,0,0,,
2025-05,136,0,0,0,,
2025-06,436,0,0,0,,
2025-07,88,0,0,0,,
2025-08,149,0,0,0,,
2025-09,375,0,0,0,,
2025-10,98,0,0,0,,
2025-11,235,0,0,0,,
2025-12,282,0,0,0,,
2026-01,132,0,0,0,,
2026-02,110,0,0,0,,
2026-03,216,0,0,0,,
2026-04,173,0,0,0,,
2026-05,223,0,0,0,,
2026-06,231,468000,468000,2026,,
2026-07,124,22672949,38990939,182846,4744.6%,

D. 月度业绩走势—按签单时间 | Monthly by Signing Date,,,,,,
📌 sign_ym；排除排期、取消预约，保留所有其他状态；2025-01至最新月,,,,,,
签单年月,件数,APE,年总保费(HKD),件均APE,环比增长%,同比增长%
2025-01,70,0,0,0,,
2025-02,116,0,0,0,,
2025-03,122,0,0,0,,
2025-04,64,0,0,0,,
2025-05,105,0,0,0,,
2025-06,476,0,0,0,,
2025-07,73,0,0,0,,
2025-08,155,0,0,0,,
2025-09,367,0,0,0,,
2025-10,108,0,0,0,,
2025-11,218,0,0,0,,
2025-12,302,0,0,0,,
2026-01,114,0,0,0,,
2026-02,121,0,0,0,,
2026-03,212,0,0,0,,
2026-04,162,0,0,0,,
2026-05,225,0,0,0,,
2026-06,239,0,0,0,,
2026-07,99,23140949,39458939,233747,,

E. 月度业绩走势—按批核时间 | Monthly by Issue Date,,,,,,
📌 issue_ym；status=生效；2025-01至最新月,,,,,,
批核年月,件数,APE,年总保费(HKD),件均APE,环比增长%,同比增长%
2025-01,120,0,0,0,,
2025-02,67,0,0,0,,
2025-03,116,0,0,0,,
2025-04,88,0,0,0,,
2025-05,70,0,0,0,,
2025-06,166,0,0,0,,
2025-07,273,0,0,0,,
2025-08,103,0,0,0,,
2025-09,135,0,0,0,,
2025-10,268,0,0,0,,
2025-11,118,0,0,0,,
2025-12,121,0,0,0,,
2026-01,203,0,0,0,,
2026-02,180,0,0,0,,
2026-03,143,0,0,0,,
2026-04,192,0,0,0,,
2026-05,163,0,0,0,,
2026-06,172,0,0,0,,
2026-07,104,0,0,0,,

F. 保单状态分布-2026 | Policy Status Distribution,,,,,,,
📌 10个保单状态；批核(2026)=生效+issue_year=2026；流失按sign_year=2026,,,,,,,
保单状态,统计说明,件数,APE,年总保费(HKD),件数占比,APE占比,年总保费占比
A.批核(2026),status=生效+issue_year=2026,1157,0,0,75.8%,0.0%,0.0%
B.排期,status=排期,42,0,0,2.8%,0.0%,0.0%
C.已签单,status=已签单,25,11060550,18603540,1.6%,47.8%,47.1%
D.待批核,status=待批核,76,12080399,20855399,5.0%,52.2%,52.9%
E.pending,status=pending,86,0,0,5.6%,0.0%,0.0%
F.尚欠保费,status=尚欠保费,48,0,0,3.1%,0.0%,0.0%
G.失效,失效+sign_year=2026,0,0,0,0.0%,0.0%,0.0%
H.退保,退保+sign_year=2026,14,0,0,0.9%,0.0%,0.0%
I.取消投保,取消投保+sign_year=2026,78,0,0,5.1%,0.0%,0.0%
J.搁置受保,搁置受保+sign_year=2026,1,0,0,0.1%,0.0%,0.0%
合计,,1527,23140949,39458939,100.0%,100.0%,100.0%

G. 业务类型维度-2026 | Business Type Dimension,,,,,,,,
📌 business_category；2026批核=生效+issue_year=2026；未批核/待签跨年,,,,,,,,
业务类型,2026批核APE,批核件数,未批核APE,未批核件数,待签APE,待签件数,合计APE,合计件数
代理人业务,0,225,6652000,31,0,4,6652000,260
经代业务,0,815,10638150,131,0,17,10638150,963
KA业务,0,37,27799,8,0,0,27799,45
合计,0,1077,17317949,170,0,21,17317949,1268

H. 永明业绩汇报数据-2026 | Sunlife Performance Report,,,,,,,,,
📌 批核=status=生效+issue_ym；未批核=IN(尚欠/已签/pending/待批核)；已递交=submit_ym=当月；carrier=香港永明金融有限公司；EG=key_account=EGA,,,,,,,,,
牌照,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,未批核,本月已递交
JF,0,0,0,0,0,0,0,3534000,2130000
UNIWIN,0,0,0,0,0,0,0,4686150,2889600
DW-Non-Bank,0,0,0,0,0,0,0,0,0
EG,0,0,0,0,0,0,0,0,0
Sub Total,0,0,0,0,0,0,0,8220150,5019600
DW Bank,0,0,0,0,0,0,0,5070000,3120000

