A-APE. 阶段周追踪漏斗 (APE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
📌 预约=res_yw；签单=sign_yw；递交=submit_yw；批核=issue_yw(仅生效)；2026W01至最新周,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阶段,2026W01,2026W02,2026W03,2026W04,2026W05,2026W06,2026W07,2026W08,2026W09,2026W10,2026W11,2026W12,2026W13,2026W14,2026W15,2026W16,2026W17,2026W18,2026W19,2026W20,2026W21,2026W22,2026W23,2026W24,2026W25,2026W26,2026W27,2026W28,合计
预约,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2610000,12321449,8209500,23140949
签单,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2115739,21025210,23140949
递交,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426000,11654399,12080399
批核,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

A-件数. 阶段周追踪漏斗 (件数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
📌 同A-APE；值为件数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阶段,2026W01,2026W02,2026W03,2026W04,2026W05,2026W06,2026W07,2026W08,2026W09,2026W10,2026W11,2026W12,2026W13,2026W14,2026W15,2026W16,2026W17,2026W18,2026W19,2026W20,2026W21,2026W22,2026W23,2026W24,2026W25,2026W26,2026W27,2026W28,合计
预约,16,36,35,31,32,30,8,22,25,48,40,62,21,34,45,52,22,43,61,47,57,39,49,38,71,43,56,51,1114
签单,7,19,40,36,36,25,11,29,14,33,44,67,38,19,39,52,32,25,62,56,66,47,36,44,67,55,35,43,1077
递交,12,15,32,45,40,29,0,17,35,27,27,42,87,13,34,48,43,25,25,58,59,76,40,27,58,57,54,39,1064
批核,63,52,58,29,58,51,10,61,33,28,36,11,56,24,59,45,44,31,42,46,43,31,45,31,50,41,49,29,1156

B-APE. 周度预约业绩 (APE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
📌 res_yw；status NOT IN(失效/退保/取消投保/搁置受保/取消预约),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
业务细分,2026W01,2026W02,2026W03,2026W04,2026W05,2026W06,2026W07,2026W08,2026W09,2026W10,2026W11,2026W12,2026W13,2026W14,2026W15,2026W16,2026W17,2026W18,2026W19,2026W20,2026W21,2026W22,2026W23,2026W24,2026W25,2026W26,2026W27,2026W28,合计
天领业务,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468000,5404000,546000,6418000
成事家办,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234000,0,234000
BK业务,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2340000,2730000,5070000
同行经代,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014000,507000,1521000
永明经代,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1819650,2227500,4047150
合伙转介业务,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27799,0,27799
ICLUB业务,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IFA业务,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
合计,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468000,10839449,6010500,17317949

B-件数. 周度预约业绩 (件数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
📌 res_yw；status NOT IN(失效/退保/取消投保/搁置受保/取消预约),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
业务细分,2026W01,2026W02,2026W03,2026W04,2026W05,2026W06,2026W07,2026W08,2026W09,2026W10,2026W11,2026W12,2026W13,2026W14,2026W15,2026W16,2026W17,2026W18,2026W19,2026W20,2026W21,2026W22,2026W23,2026W24,2026W25,2026W26,2026W27,2026W28,合计
天领业务,1,8,9,5,4,7,3,1,3,3,5,14,7,0,12,10,5,19,14,9,12,7,4,3,9,7,6,4,191
成事家办,4,0,2,0,1,0,0,0,0,1,0,1,0,3,4,7,0,0,7,0,0,3,0,0,1,0,1,0,35
BK业务,3,4,6,4,6,2,0,0,5,4,8,5,0,7,1,4,1,1,2,1,5,1,7,2,7,1,9,4,100
同行经代,1,4,5,5,4,3,3,2,4,9,9,13,4,7,14,13,6,9,15,15,13,13,11,7,14,10,8,11,232
永明经代,7,18,13,15,15,15,2,15,10,25,16,19,7,10,7,12,5,10,9,16,11,9,15,19,23,10,12,10,355
合伙转介业务,0,0,0,2,0,0,0,1,0,5,1,3,0,2,0,0,1,0,2,0,0,0,1,0,4,0,3,0,25
ICLUB业务,0,2,0,0,2,2,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,10
IFA业务,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
合计,16,36,35,31,32,29,8,19,22,47,39,56,19,29,38,46,19,39,50,41,41,33,38,31,58,28,39,29,948

C-APE. 周度签单业绩 (APE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
📌 sign_yw；status NOT IN(排期/失效/退保/取消投保/搁置受保/取消预约),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
业务细分,2026W01,2026W02,2026W03,2026W04,2026W05,2026W06,2026W07,2026W08,2026W09,2026W10,2026W11,2026W12,2026W13,2026W14,2026W15,2026W16,2026W17,2026W18,2026W19,2026W20,2026W21,2026W22,2026W23,2026W24,2026W25,2026W26,2026W27,2026W28,合计
天领业务,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468000,5950000,6418000
成事家办,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234000,234000
BK业务,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780000,4290000,5070000
