A. 保险公司维度 | Carrier Dimension,,,,,,,
📌 sign_year=2026；status IN(生效/尚欠/已签/pending/待批核/排期)；全17家保司列出(零业务保留)；按APE降序,,,,,,,
保险公司,件数,APE,年总保费(HKD),件数占比,APE件均,年总保费件均,APE占比
永明,884,13290150,26800140,79.0%,15034,30317,57.4%
安盛,103,5394000,5394000,9.2%,52369,52369,23.3%
澳门中国人寿,19,4000000,4000000,1.7%,210526,210526,17.3%
立桥,53,195000,1950000,4.7%,3679,36792,0.8%
万通,22,117000,117000,2.0%,5318,5318,0.5%
太平洋,13,117000,1170000,1.2%,9000,90000,0.5%
友邦,10,27799,27799,0.9%,2780,2780,0.1%
中国人寿,2,0,0,0.2%,0,0,0.0%
宏利,3,0,0,0.3%,0,0,0.0%
周大福,0,0,0,0.0%,0,0,0.0%
保诚,1,0,0,0.1%,0,0,0.0%
中银人寿,2,0,0,0.2%,0,0,0.0%
澳门太平,0,0,0,0.0%,0,0,0.0%
保柏,0,0,0,0.0%,0,0,0.0%
富卫,0,0,0,0.0%,0,0,0.0%
忠意,0,0,0,0.0%,0,0,0.0%
信诺,0,0,0,0.0%,0,0,0.0%
安达人寿保险有限公司,1,0,0,0.1%,0,0,0.0%
微蓝保险有限公司,1,0,0,0.1%,0,0,0.0%
保柏（亚洲）有限公司,2,0,0,0.2%,0,0,0.0%
永明金融有限公司,2,0,0,0.2%,0,0,0.0%
中国太平保险（香港）有限公司,1,0,0,0.1%,0,0,0.0%
合计,1119,23140949,39458939,100.0%,20680,35263,100.0%

B. 产品TOP20—年总保费 | Product TOP20 by Premium,,,,,,,
📌 ⭐ 联合主键=产品名称+年期+首年特殊折扣(SQ_rate)；sign_year=2026；status非流失；按年总保费降序,,,,,,,
排名,保司,产品名称,年期,首年折扣,件数,年总保费(HKD),年总保费(HKD)件均
1,永明,永誉传承储蓄计划,1.0,7%,2,7800000,3900000
2,澳门中国人寿,裕饶传承储蓄保险计划III,5.0,23%,1,2400000,2400000
3,永明,万年青·卓金保险计划II,5.0,21%,45,1950000,43333
4,安盛,盛利II储蓄保险-至尊,2.0,5%,1,1950000,1950000
5,澳门中国人寿,裕饶传承储蓄保险计划III,5.0,18%,1,1600000,1600000
6,永明,万年青·卓金保险计划II,5.0,20%,13,1560000,120000
7,永明,万年青·星河尊享保险计划II,2.0,6%,33,1170000,35455
8,永明,万年青·卓金保险计划II,5.0,59%,16,780000,48750
9,永明,万年青·星河尊享保险计划II,5.0,15%,17,546000,32118
10,永明,万年青·星河传承保险计划II,5.0,100%,13,468000,36000
