A. 目标达成率 | Target Achievement Rate,,,,
📌 按目标类型统计2026年批核APE（issue_year=2026），计算达成率,,,,
指标,目标APE,已达成APE,目标达成率,完成进度
2026全业务目标,1113000000,605158199,54.4%,54.4%
2026永明业务目标,976100000,511619869,52.4%,52.4%

B. 顶部KPI汇总 | Top KPI Summary,,,,,
📌 批核(2025/2026):status=生效+issue_year；未批核:IN(尚欠/已签/pending/待批核)；待签:排期；流失(2026):流失+sign_year=2026,,,,,
指标行,件数,APE,年总保费(HKD),件均APE,融资占比
批核(2025),1645,616841099,885970240,374979,13.6%
批核(2026),1157,605158199,2302234438,523041,36.2%
未批核(跨年),235,107346274,284110155,456793,18.3%
待签(跨年),42,16045274,18853274,382030,0.0%
流失(2026),93,33636971,41464271,361688,2.3%

C. 月度业绩走势—按预约时间 | Monthly by Reservation Date,,,,,,
📌 res_ym；排除取消预约，保留所有其他状态；2025-01至最新月,,,,,,
预约年月,件数,APE,年总保费(HKD),件均APE,环比增长%,同比增长%
2025-01,69,22560613,23332813,326965,,
2025-02,119,38907760,87486160,326956,72.5%,
2025-03,114,34295208,34295208,300835,-11.9%,
2025-04,74,29108646,88568046,393360,-15.1%,
2025-05,136,45504949,46301684,334595,56.3%,
2025-06,436,178786707,203850319,410061,292.9%,
2025-07,88,41339770,105081370,469770,-76.9%,
2025-08,149,61722577,110734533,414245,49.3%,
2025-09,375,144649083,182113419,385731,134.4%,
2025-10,98,79922700,342269890,815538,-44.7%,
2025-11,235,185478033,1381876205,789268,132.1%,
2025-12,282,141879661,453800157,503119,-23.5%,
2026-01,132,53902782,110568222,408354,-62.0%,138.9%
2026-02,110,56367834,72513834,512435,4.6%,44.9%
2026-03,216,81478673,135325583,377216,44.5%,137.6%
2026-04,173,67377586,133814045,389466,-17.3%,131.5%
2026-05,223,81866821,144867811,367116,21.5%,79.9%
2026-06,231,84354505,139796639,365171,3.0%,-52.8%
2026-07,124,49513301,86440536,399301,-41.3%,19.8%

D. 月度业绩走势—按签单时间 | Monthly by Signing Date,,,,,,
📌 sign_ym；排除排期、取消预约，保留所有其他状态；2025-01至最新月,,,,,,
签单年月,件数,APE,年总保费(HKD),件均APE,环比增长%,同比增长%
2025-01,70,25095613,25867813,358509,,
2025-02,116,37816349,86394749,326003,50.7%,
2025-03,122,36049619,36049619,295489,-4.7%,
2025-04,64,21145859,48594059,330404,-41.3%,
2025-05,105,39550539,40347273,376672,87.0%,
2025-06,476,188679104,213742716,396385,377.1%,
2025-07,73,34340170,98081770,470413,-81.8%,
2025-08,155,66976795,115988750,432108,95.0%,
2025-09,367,145046039,173384375,395221,116.6%,
2025-10,108,80154089,351627279,742167,-44.7%,
2025-11,218,176229160,1311222760,808391,119.9%,
2025-12,302,147561562,477958347,488614,-16.3%,
2026-01,114,47898592,140472314,420163,-67.5%,90.9%
2026-02,121,61126234,77272234,505175,27.6%,61.6%
2026-03,212,82149259,143016169,387497,34.4%,127.9%
2026-04,162,62101726,128538184,383344,-24.4%,193.7%
2026-05,225,86136981,145627971,382831,38.7%,117.8%
2026-06,239,85694931,144647066,358556,-0.5%,-54.6%
2026-07,99,39172514,73291750,395682,-54.3%,14.1%

E. 月度业绩走势—按批核时间 | Monthly by Issue Date,,,,,,
📌 issue_ym；status=生效；2025-01至最新月,,,,,,
批核年月,件数,APE,年总保费(HKD),件均APE,环比增长%,同比增长%
2025-01,120,41402628,41472828,345022,,
2025-02,67,21652059,22354059,323165,-47.7%,
2025-03,116,35513884,49553884,306154,64.0%,
2025-04,88,27540230,93738830,312957,-22.5%,
2025-05,70,28622463,33887463,408892,3.9%,
2025-06,166,77238089,100218024,465290,169.9%,
2025-07,273,102660084,151234531,376044,32.9%,
2025-08,103,44929512,46074881,436209,-56.2%,
2025-09,135,61434790,118858390,455073,36.7%,
2025-10,268,93420117,107708575,348583,52.1%,
2025-11,118,38745746,77187278,328354,-58.5%,
2025-12,121,43681497,43681497,361004,12.7%,
2026-01,203,116781479,171839269,575278,167.3%,182.1%
2026-02,180,143730290,892315915,798502,23.1%,563.8%
2026-03,143,85756139,543716369,599693,-40.3%,141.5%
2026-04,192,91151383,307893883,474747,6.3%,231.0%
2026-05,163,72813178,244619837,446707,-20.1%,154.4%
2026-06,172,62052543,96562863,360771,-14.8%,-19.7%
2026-07,104,32873186,45286301,316088,-47.0%,-68.0%

F. 保单状态分布-2026 | Policy Status Distribution,,,,,,,
📌 10个保单状态；批核(2026)=生效+issue_year=2026；流失按sign_year=2026,,,,,,,
保单状态,统计说明,件数,APE,年总保费(HKD),件数占比,APE占比,年总保费占比
A.批核(2026),status=生效+issue_year=2026,1157,605158199,2302234438,75.8%,79.4%,87.0%
B.排期,status=排期,42,16045274,18853274,2.8%,2.1%,0.7%
C.已签单,status=已签单,25,11446274,21232715,1.6%,1.5%,0.8%
D.待批核,status=待批核,76,35752374,61971793,5.0%,4.7%,2.3%
E.pending,status=pending,86,33151172,34204172,5.6%,4.3%,1.3%
F.尚欠保费,status=尚欠保费,48,26996454,166701474,3.1%,3.5%,6.3%
G.失效,失效+sign_year=2026,0,0,0,0.0%,0.0%,0.0%
H.退保,退保+sign_year=2026,14,3693697,3693697,0.9%,0.5%,0.1%
I.取消投保,取消投保+sign_year=2026,78,29726277,37553577,5.1%,3.9%,1.4%
J.搁置受保,搁置受保+sign_year=2026,1,216996,216996,0.1%,0.0%,0.0%
合计,,1527,762186718,2646662138,100.0%,100.0%,100.0%

G. 业务类型维度-2026 | Business Type Dimension,,,,,,,,
📌 business_category；2026批核=生效+issue_year=2026；未批核/待签跨年,,,,,,,,
业务类型,2026批核APE,批核件数,未批核APE,未批核件数,待签APE,待签件数,合计APE,合计件数
代理人业务,72173495,225,15448265,31,390000,4,88011760,260
经代业务,488736012,815,63537769,131,6419474,17,558693255,963
KA业务,24870763,37,4393093,8,0,0,29263855,45
合计,585780269,1077,83379126,170,6809474,21,675968870,1268

H. 永明业绩汇报数据-2026 | Sunlife Performance Report,,,,,,,,,
