A. 业务细分年度汇总—全业务,,,,,,,,,,
📌 segment_code(8个); 2026批核=生效+issue_year=2026; 合计行达成率=合计批核APE÷合计目标APE,,,,,,,,,,
业务细分,目标APE,达成率,2026批核APE,批核件数,未批核APE,未批核件数,待签APE,待签件数,合计APE,合计件数
天领业务,193000000,33.1%,63946207,188,8601265,24,6340000,8,78887472,220
成事家办,70000000,11.3%,7876288,35,702000,2,234000,1,8812288,38
BK业务,200000000,113.8%,227625120,196,25145883,33,1560000,3,254331003,232
同行经代,160000000,79.0%,126335533,282,37839516,106,6888300,16,171063349,404
永明经代,340000000,43.0%,146341724,387,20852029,59,2969982,7,170163735,453
合伙转介业务,73000000,5.8%,4220031,23,4611213,9,27799,2,8859043,34
ICLUB业务,52000000,39.2%,20404812,11,0,0,0,0,20404812,11
IFA业务,25000000,0.0%,0,0,0,0,0,0,0,0
合计,1113000000,53.6%,596749714,1122,97751907,233,18020081,37,712521702,1392

B. 业务细分年度汇总—永明,,,,,,,,,,
📌 同A区 + carrier=香港永明金融有限公司,,,,,,,,,,
业务细分,目标APE,达成率,2026批核APE,批核件数,未批核APE,未批核件数,待签APE,待签件数,合计APE,合计件数
天领业务,135100000,34.8%,47020904,149,8289265,20,2340000,6,57650169,175
成事家办,56000000,11.1%,6205288,30,702000,2,234000,1,7141288,33
BK业务,200000000,113.8%,227625120,196,23905683,30,1560000,3,253090803,229
同行经代,140000000,51.8%,72533628,201,17654033,48,1579800,5,91767461,254
永明经代,340000000,43.0%,146341724,387,20852029,59,2969982,7,170163735,453
合伙转介业务,51100000,7.8%,4000164,18,4365293,6,0,0,8365457,24
ICLUB业务,36400000,1.7%,604812,6,0,0,0,0,604812,6
IFA业务,17500000,0.0%,0,0,0,0,0,0,0,0
合计,976100000,51.7%,504331639,987,75768304,165,8683782,22,588783725,1174

C-APE. 月度预约业绩—全业务 (APE),,,,,,,,
📌 res_ym；排除流失类,,,,,,,,
业务细分,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,合计
天领业务,6673951,9730508,13350825,8852124,20966705,6433771,5872000,71879884
成事家办,1023000,390000,312000,2631479,2391000,819000,234000,7800479
BK业务,13862160,7363200,14820000,7332000,6864000,10054200,6240000,66535560
同行经代,6176316,4999200,15047670,23630369,28943186,38565212,11750956,129112909
永明经代,17009555,16105431,25541820,15677534,19734930,22956573,5202202,122228045
合伙转介业务,436800,79800,1963946,420091,44748,4075720,253999,7275104
ICLUB业务,2390000,12109200,1818813,4000000,8798,0,0,20326811
IFA业务,0,0,0,0,0,0,0,0
合计,47571782,50777339,72855074,62543597,78953367,82904476,29553157,425158792

C-件数. 月度预约业绩—全业务 (件数),,,,,,,,
📌 res_ym；排除流失类,,,,,,,,
业务细分,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,合计
天领业务,25,15,30,29,55,29,7,190
成事家办,6,1,2,14,8,4,1,36
BK业务,17,8,22,12,10,18,10,97
同行经代,15,16,50,62,91,99,34,367
永明经代,53,48,76,35,47,72,16,347
合伙转介业务,2,1,9,3,2,5,3,25
ICLUB业务,2,4,2,1,1,0,0,10
IFA业务,0,0,0,0,0,0,0,0
合计,120,93,191,156,214,227,71,1072

D-APE. 月度签单业绩—全业务 (APE),,,,,,,,
📌 sign_ym；排除排期及流失,,,,,,,,
业务细分,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,合计
天领业务,4957951,11212508,12130125,9932424,19873161,7277715,156000,65539884
成事家办,1023000,390000,312000,1893479,3129000,819000,0,7566479
BK业务,17138160,8377200,13260000,8502000,6864000,11224200,4680000,70045560
同行经代,2588316,7573200,15827670,22523029,28314726,36371324,9182344,122380609
永明经代,13744355,15228831,28386120,14796900,20377965,23879073,2993020,119406264
合伙转介业务,89809,436800,2043746,420091,44748,4075720,226200,7337114
ICLUB业务,2390000,12109200,1800000,18813,4008798,0,0,20326811
IFA业务,0,0,0,0,0,0,0,0
合计,41931591,55327739,73759661,58086736,82612398,83647032,17237564,412602721

